track,scan,Sw,K_abs_D,Keff_gas_mD,Keff_brine_mD,kr_gas,kr_brine
1,0,0.30623326527139644,0.441211591620139,77.94729337122752,1.665357378835822,0.17666646763518448,0.003774509578772833
1,1,0.5583316769452387,0.441211591620139,2.91035787684818,32.81835579320094,0.0065962860725423825,0.0743823517253733
1,2,0.5610018672687391,0.441211591620139,2.649922238131372,32.63313369944756,0.006006012281773462,0.07396254839909792
1,3,0.7497952896145859,0.441211591620139,2.953806035382891,37.60525260676285,0.006694760725883126,0.0852317874711213
2,0,0.28791852764122117,0.5708711102473718,110.8191487626242,4.588472072753778,0.19412288829014956,0.008037667330486362
2,1,0.5529460260449474,0.5708711102473718,13.596598641454708,51.87941150036684,0.023817282741042868,0.09087762643635318
2,2,0.5449526887059128,0.5708711102473718,18.06178859086618,37.54162050890884,0.031638995679847216,0.06576199046513526
2,3,0.7151108141316186,0.5708711102473718,14.138586048176183,61.07465494025725,0.02476668690074298,0.10698501613401347
3,0,0.39358882236705905,0.47224845132342086,61.597086622638244,7.160556448510233,0.13043364451491507,0.015162689106642094
3,1,0.5837559600385009,0.47224845132342086,2.5092020828771595,42.24897720015324,0.005313309288459104,0.08946345315004303
3,2,0.594450607702575,0.47224845132342086,3.1016189403979006,54.2728092446495,0.006567769426677796,0.11492427151969756
3,3,0.8635573073056517,0.47224845132342086,4.861390951049589,55.66055639784773,0.010294138471870287,0.1178628669757742
4,0,0.36916138325904674,8.38699420714862,4795.448643273494,433.99117236364765,0.571772022828645,0.05174573412650471
4,1,0.4941286097661466,8.38699420714862,4064.4394554267787,573.2492079171703,0.4846121691562003,0.0683497798804444
4,2,0.5345959015671551,8.38699420714862,4439.159557789343,648.2692221371203,0.5292908815896933,0.07729458327091378
4,3,0.5085887054849313,8.38699420714862,4445.461972576794,440.2935871510987,0.5300423325424171,0.05249718507922854
5,0,0.3799450558114167,0.5424109452071908,87.15895146056435,6.748558879904851,0.1606880396325175,0.012441782267736186
5,1,0.5789636381830499,0.5424109452071908,15.292576434257859,47.18097140882173,0.028193709159789134,0.08698381149148729
5,2,0.5887791989550497,0.5424109452071908,14.479038036694439,59.88479550538527,0.02669385299952551,0.11040484347621414
5,3,0.8326960135664642,0.5424109452071908,13.71008263762746,63.881863970584135,0.025276190974336747,0.11777392129537957
6,0,0.2852477310753997,0.448109797387497,85.75681615785136,1.3420597122390359,0.19137456189937818,0.002994934991520633
6,1,0.5735416335665064,0.448109797387497,4.208665455562756,44.636396769637514,0.009392040700960993,0.0996104013566987
6,2,0.567257160889107,0.448109797387497,4.584793975377823,34.505214336311646,0.010231407574901074,0.0770016958733748
6,3,0.92577842981697,0.448109797387497,3.7661082679879985,40.263209917123234,0.008404431882419447,0.08985121537591859
