track,scan,Sw,K_abs_D,Keff_gas_mD,Keff_brine_mD,kr_gas,kr_brine
1,0,0.2889296991918535,0.6830844909629754,152.30565536349175,5.669832701284891,0.22296752067782935,0.008300338795998528
1,1,0.5480420631029618,0.6830844909629754,41.2663273832931,53.0552880857104,0.06041174690574233,0.07767016933866547
1,2,0.5396816122555703,0.6830844909629754,41.43807325250097,37.370178614690715,0.06066317388363455,0.05470798870284446
1,3,0.5592237369016627,0.6830844909629754,37.2736158929473,62.61408561333995,0.054566625924123945,0.09166374942149545
1,4,0.5892974903555891,0.6830844909629754,27.30891042900699,84.49217887550125,0.03997881783336696,0.12369213471145975
1,5,0.5803991428544133,0.6830844909629754,29.634015125592835,68.58182393707798,0.04338264961017694,0.10040020648162433
1,6,0.5959149345171398,0.6830844909629754,25.924810975685745,72.91448079095912,0.03795256856020601,0.10674298971151908
1,7,0.614249180036433,0.6830844909629754,24.774569614477635,71.25781709683011,0.036268675313579135,0.10431772063273566
1,8,0.6346421090422435,0.6830844909629754,25.440781467009643,94.66855225730306,0.037243974652600605,0.13858981357320013
1,9,0.6611529375180077,0.6830844909629754,16.554984566683146,126.53566898258454,0.02423563232030759,0.1852416072339769
1,10,0.6721610583037052,0.6830844909629754,3.691188565514665,117.42047228999455,0.005403707175829783,0.17189743559316
1,11,0.9378881539714252,0.6830844909629754,6.932980506185232,183.62217205734223,0.010149521176233254,0.26881326466434874
2,0,0.2797690789857509,0.6176315829203748,113.92982615771659,5.152416606234749,0.18446243571129758,0.008342216863121458
2,1,0.5341089296919783,0.6176315829203748,14.08376922502488,54.03266900274823,0.022802864384674066,0.08748365610978501
2,2,0.5257940235276304,0.6176315829203748,19.24242745104913,39.90583665417565,0.031155186980666223,0.0646110687304673
2,3,0.5455131597391089,0.6176315829203748,14.926793196593897,65.989829199493,0.02416779453863884,0.10684335293779888
2,4,0.5755961545582686,0.6176315829203748,9.546456143045765,87.89598948570774,0.015456554371631763,0.1423113582859627
2,5,0.569990441086995,0.6176315829203748,9.208618339439345,73.22524455547862,0.01490956517459458,0.11855812847076966
2,6,0.5843566566611177,0.6176315829203748,10.29857132768068,77.74069170319515,0.016674295182551202,0.1258690356079435
2,7,0.6040807969226387,0.6176315829203748,8.633122756347934,76.17967880584033,0.013977787074177062,0.12334161806563805
2,8,0.6262131215493764,0.6176315829203748,5.427838211946155,99.06950215888102,0.008788148731451633,0.16040226066556748
2,9,0.6535682026411848,0.6176315829203748,4.913178156803066,136.57190989411234,0.007954868715702439,0.22112196602439485
2,10,0.6612154507874932,0.6176315829203748,7.115314837536006,122.6640408631552,0.011520322202262305,0.19860389956607688
2,11,0.9533386845424444,0.6176315829203748,4.774058936494861,178.31476873633437,0.0077296224294772405,0.288707335679307
3,0,0.3008418282272088,0.7387716958349244,189.38959086283603,2.627093716401264,0.2563573996277659,0.0035560291917142934
